"#";"Iniciar";"Localização";"Descrição"
"94";"25/08/2023 09:45";"=HYPERLINK(""http://maps.google.com/?q=-26,5945093,-51,1040791"",""Calmon (Calmon)"")";"Arranque do Motor"
"95";"25/08/2023 09:46";"=HYPERLINK(""http://maps.google.com/?q=-26,5944931,-51,104227"",""Calmon (Calmon)"")";"Em andamento"
"96";"25/08/2023 10:00";"=HYPERLINK(""http://maps.google.com/?q=-26,5943938,-51,1035076"",""Calmon (Calmon)"")";"Routine data transmission-pt"
"97";"25/08/2023 10:08";"=HYPERLINK(""http://maps.google.com/?q=-26,5944558,-51,104108"",""Calmon (Calmon)"")";"Paragem do Motor"
"98";"25/08/2023 10:08";"=HYPERLINK(""http://maps.google.com/?q=-26,5944558,-51,104108"",""Calmon (Calmon)"")";"Chave Desligada"
"99";"25/08/2023 10:09";"=HYPERLINK(""http://maps.google.com/?q=-26,5944551,-51,1041018"",""Calmon (Calmon)"")";"Chave Ligada"
"100";"25/08/2023 10:09";"=HYPERLINK(""http://maps.google.com/?q=-26,5944551,-51,1041018"",""Calmon (Calmon)"")";"Arranque do Motor"
"101";"25/08/2023 10:09";"=HYPERLINK(""http://maps.google.com/?q=-26,5945088,-51,1041048"",""Calmon (Calmon)"")";"Em andamento"
"102";"25/08/2023 10:11";"=HYPERLINK(""http://maps.google.com/?q=-26,5944183,-51,1038228"",""Calmon (Calmon)"")";"Em andamento"
"103";"25/08/2023 10:13";"=HYPERLINK(""http://maps.google.com/?q=-26,5945328,-51,1041303"",""Calmon (Calmon)"")";"Parado"
"104";"25/08/2023 10:14";"=HYPERLINK(""http://maps.google.com/?q=-26,5944778,-51,1038553"",""Calmon (Calmon)"")";"Em andamento"
"105";"25/08/2023 10:24";"=HYPERLINK(""http://maps.google.com/?q=-26,5944834,-51,1041498"",""Calmon (Calmon)"")";"Paragem do Motor"
"106";"25/08/2023 10:24";"=HYPERLINK(""http://maps.google.com/?q=-26,5944834,-51,1041498"",""Calmon (Calmon)"")";"Chave Desligada"
"107";"25/08/2023 10:24";"=HYPERLINK(""http://maps.google.com/?q=-26,5944906,-51,1041466"",""Calmon (Calmon)"")";"Chave Ligada"
